GeneName,GN_Syn
SHOC2,SHOC2
RPL13AP6,RPL13AP6
MIR548E,MIR548E
ADRA2A,ADRA2A
AL355863.1,AL355863.1
BTBD7P2,BTBD7P2
AC021035.1,AC021035.1
RPS6P15,RPS6P15
GPAM,GPAM
TECTB,TECTB
MIR6715B,MIR6715B
MIR6715A,MIR6715A
GUCY2GP,GUCY2GP
ACSL5,ACSL5
AL157786.1,AL157786.1
ZDHHC6,ZDHHC6
VTI1A,VTI1A
AC022018.1,AC022018.1
MIR4295,MIR4295
AL139120.1,AL139120.1
AL158212.5,AL158212.5
AL158212.3,AL158212.3
AL158212.4,AL158212.4
AL158212.1,AL158212.1
TCF7L2,TCF7L2
AL158212.2,AL158212.2
RPS15AP30,RPS15AP30
RNU7-165P,RNU7-165P
PPIAP39,PPIAP39
HABP2,HABP2
NRAP,NRAP
CASP7,CASP7
AL592546.1,AL592546.1
PLEKHS1,PLEKHS1
MIR4483,MIR4483
RF00560,RF00560
DCLRE1A,DCLRE1A
NHLRC2,NHLRC2
ADRB1,ADRB1
AC022023.1,AC022023.1
RNU6-709P,RNU6-709P
UBE2V1P5,UBE2V1P5
CCDC186,CCDC186
RF02277,RF02277
MIR2110,MIR2110
TDRD1,TDRD1
VWA2,VWA2
AURKAP2,AURKAP2
AC005383.1,AC005383.1
AFAP1L2,AFAP1L2
RN7SL384P,RN7SL384P
AL133384.2,AL133384.2
ABLIM1,ABLIM1
AL133384.1,AL133384.1
PPIAP19,PPIAP19
AL137025.1,AL137025.1
TAF9BP2,TAF9BP2
FAM160B1,FAM160B1
RPL15P13,RPL15P13
TRUB1,TRUB1
RNU6-1121P,RNU6-1121P
AL355340.1,AL355340.1
ATRNL1,ATRNL1
AC016042.1,AC016042.1
NTAN1P1,NTAN1P1
GFRA1,GFRA1
AC012470.1,AC012470.1
CCDC172,CCDC172
SNRPGP6,SNRPGP6
PNLIPRP3,PNLIPRP3
HMGB3P8,HMGB3P8
RNU6-1090P,RNU6-1090P
PNLIP,PNLIP
PNLIPP1,PNLIPP1
PNLIPRP1,PNLIPRP1
PNLIPRP2,PNLIPRP2
C10orf82,C10orf82
AC016825.1,AC016825.1
HSPA12A,HSPA12A
RPL5P27,RPL5P27
ENO4,ENO4
SHTN1,SHTN1
AC012308.1,AC012308.1
VAX1,VAX1
MIR3663HG,MIR3663HG
MIR3663,MIR3663
RPL12P26,RPL12P26
KCNK18,KCNK18
AL731557.1,AL731557.1
SLC18A2,SLC18A2
AL391988.1,AL391988.1
PDZD8,PDZD8
AC005871.2,AC005871.2
EMX2OS,EMX2OS
EMX2,EMX2
AC005871.1,AC005871.1
AL139121.1,AL139121.1
AL513324.1,AL513324.1
RAB11FIP2,RAB11FIP2
AC022395.1,AC022395.1
CASC2,CASC2
AL354863.1,AL354863.1
FAM204A,FAM204A
LINC00867,LINC00867
SLC25A18P1,SLC25A18P1
PRLHR,PRLHR
TOMM22P5,TOMM22P5
CACUL1,CACUL1
AL139407.1,AL139407.1
RPL17P36,RPL17P36
LDHAP5,LDHAP5
AL157788.1,AL157788.1
NANOS1,NANOS1
EIF3A,EIF3A
SNORA19,SNORA19
RF00413,RF00413
AL355598.1,AL355598.1
FAM45A,FAM45A
SFXN4,SFXN4
PRDX3,PRDX3
GRK5,GRK5
GRK5-IT1,GRK5-IT1
RN7SL749P,RN7SL749P
AL583824.1,AL583824.1
MIR4681,MIR4681
RGS10,RGS10
AC012468.1,AC012468.1
TIAL1,TIAL1
RAD1P1,RAD1P1
RPS8P4,RPS8P4
BAG3,BAG3
TXNP1,TXNP1
INPP5F,INPP5F
RN7SL846P,RN7SL846P
PHACTR2P1,PHACTR2P1
AL133461.1,AL133461.1
MCMBP,MCMBP
SEC23IP,SEC23IP
MIR4682,MIR4682
NACAP2,NACAP2
AL355298.1,AL355298.1
RPL21P16,RPL21P16
AC073587.1,AC073587.1
PLPP4,PLPP4
LINC01561,LINC01561
WDR11-AS1,WDR11-AS1
AL391425.1,AL391425.1
WDR11,WDR11
AC010998.2,AC010998.2
AC010998.1,AC010998.1
AC010998.3,AC010998.3
RPL19P16,RPL19P16
LINC01153,LINC01153
RN7SKP167,RN7SKP167
FGFR2,FGFR2
AC009988.1,AC009988.1
RPS15AP5,RPS15AP5
AC025947.1,AC025947.1
ATE1,ATE1
RF00019,RF00019
ATE1-AS1,ATE1-AS1
RF02219,RF02219
AL731566.2,AL731566.2
NSMCE4A,NSMCE4A
AL731566.1,AL731566.1
TACC2,TACC2
AC063960.1,AC063960.1
AC063960.2,AC063960.2
BTBD16,BTBD16
RNU6-728P,RNU6-728P
PLEKHA1,PLEKHA1
MIR3941,MIR3941
BX842242.1,BX842242.1
ARMS2,ARMS2
HTRA1,HTRA1
DMBT1,DMBT1
C10orf120,C10orf120
DMBT1P1,DMBT1P1
CUZD1,CUZD1
FAM24B,FAM24B
AC073585.1,AC073585.1
FAM24A,FAM24A
C10orf88,C10orf88
PSTK,PSTK
IKZF5,IKZF5
ACADSB,ACADSB
HMX3,HMX3
HMX2,HMX2
BUB3,BUB3
RPS26P39,RPS26P39
AL160290.3,AL160290.3
AL160290.2,AL160290.2
AL160290.1,AL160290.1
AL357127.1,AL357127.1
GPR26,GPR26
CPXM2,CPXM2
AC009987.1,AC009987.1
AC068058.1,AC068058.1
YBX2P1,YBX2P1
AL683842.1,AL683842.1
CHST15,CHST15
OAT,OAT
NKX1-2,NKX1-2
AL445237.1,AL445237.1
LHPP,LHPP
RPS10P18,RPS10P18
AC068896.1,AC068896.1
FAM53B,FAM53B
AL513190.1,AL513190.1
FAM53B-AS1,FAM53B-AS1
EEF1AKMT2,EEF1AKMT2
RF00019,RF00019
ABRAXAS2,ABRAXAS2
RF00019,RF00019
NPM1P31,NPM1P31
AL731577.2,AL731577.2
ZRANB1,ZRANB1
AL731577.1,AL731577.1
CTBP2,CTBP2
AL731571.1,AL731571.1
MIR4296,MIR4296
AL157888.1,AL157888.1
MRPS21P6,MRPS21P6
RPS27P18,RPS27P18
TEX36-AS1,TEX36-AS1
TEX36,TEX36
ALDOAP2,ALDOAP2
AL158835.1,AL158835.1
FLJ37035,FLJ37035
AL158835.3,AL158835.3
AL158835.2,AL158835.2
EDRF1,EDRF1
EDRF1-AS1,EDRF1-AS1
MMP21,MMP21
UROS,UROS
MIR4484,MIR4484
BCCIP,BCCIP
DHX32,DHX32
RF00017,RF00017
RNU2-42P,RNU2-42P
FANK1,FANK1
GNG10P1,GNG10P1
FANK1-AS1,FANK1-AS1
ADAM12,ADAM12
RNA5SP328,RNA5SP328
SAR1AP2,SAR1AP2
LINC00601,LINC00601
C10orf90,C10orf90
RF00271,RF00271
DOCK1,DOCK1
AL359094.1,AL359094.1
AL359094.2,AL359094.2
INSYN2,INSYN2
NPS,NPS
AL391005.1,AL391005.1
FOXI2,FOXI2
BUB1P1,BUB1P1
CLRN3,CLRN3
PTPRE,PTPRE
AL158166.2,AL158166.2
AL158166.1,AL158166.1
MKI67,MKI67
LINC01163,LINC01163
AL390763.1,AL390763.1
AL355537.1,AL355537.1
AL355537.2,AL355537.2
AL391869.1,AL391869.1
AL359508.1,AL359508.1
MGMT,MGMT
AL157832.2,AL157832.2
AL157832.1,AL157832.1
AL157832.3,AL157832.3
EBF3,EBF3
AL354950.2,AL354950.2
MIR4297,MIR4297
AL354950.1,AL354950.1
C10orf143,C10orf143
AL139123.1,AL139123.1
CTAGE7P,CTAGE7P
PPIAP32,PPIAP32
GLRX3,GLRX3
AL157712.1,AL157712.1
AL157712.2,AL157712.2
RF00019,RF00019
AC016816.1,AC016816.1
MIR378C,MIR378C
TCERG1L,TCERG1L
TCERG1L-AS1,TCERG1L-AS1
LINC01164,LINC01164
AL607033.1,AL607033.1
FP565171.1,FP565171.1
PPP2R2D,PPP2R2D
BNIP3,BNIP3
AL162274.2,AL162274.2
AL162274.1,AL162274.1
AL162274.3,AL162274.3
JAKMIP3,JAKMIP3
AL512622.1,AL512622.1
DPYSL4,DPYSL4
STK32C,STK32C
LRRC27,LRRC27
PWWP2B,PWWP2B
AL451069.2,AL451069.2
AL451069.3,AL451069.3
C10orf91,C10orf91
AL451069.1,AL451069.1
LINC01165,LINC01165
INPP5A,INPP5A
NKX6-2,NKX6-2
CFAP46,CFAP46
LINC01166,LINC01166
LINC01167,LINC01167
LINC01168,LINC01168
ADGRA1,ADGRA1
ADGRA1-AS1,ADGRA1-AS1
RPL5P28,RPL5P28
KNDC1,KNDC1
UTF1,UTF1
VENTX,VENTX
MIR202HG,MIR202HG
MIR202,MIR202
AL592071.1,AL592071.1
ADAM8,ADAM8
TUBGCP2,TUBGCP2
AL360181.2,AL360181.2
ZNF511,ZNF511
ZNF511-PRAP1,ZNF511-PRAP1
CALY,CALY
BANF1P2,BANF1P2
AL360181.1,AL360181.1
PRAP1,PRAP1
FUOM,FUOM
ECHS1,ECHS1
MIR3944,MIR3944
AL360181.4,AL360181.4
PAOX,PAOX
AL360181.3,AL360181.3
MTG1,MTG1
SPRN,SPRN
OR6L2P,OR6L2P
SCART1,SCART1
OR7M1P,OR7M1P
CYP2E1,CYP2E1
AL161645.1,AL161645.1
SYCE1,SYCE1
OR6L1P,OR6L1P
FRG2B,FRG2B
RARRES2P2,RARRES2P2
AGGF1P2,AGGF1P2
CLUHP5,CLUHP5
DUX4L28,DUX4L28
DUX4L25,DUX4L25
DUX4L24,DUX4L24
DUX4L23,DUX4L23
DUX4L22,DUX4L22
DUX4L21,DUX4L21
DUX4L20,DUX4L20
DUX4L29,DUX4L29
DUX4L10,DUX4L10
DUX4L11,DUX4L11
DUX4L12,DUX4L12
DUX4L13,DUX4L13
DUX4L14,DUX4L14
DUX4L15,DUX4L15
RPL23AP60,RPL23AP60
BX322534.1,BX322534.1
WBP1LP10,WBP1LP10
OR4F2P,OR4F2P
AC069287.1,AC069287.1
CICP23,CICP23
LINC01001,LINC01001
AC069287.3,AC069287.3
RNU6-447P,RNU6-447P
BET1L,BET1L
SCGB1C1,SCGB1C1
ODF3,ODF3
AC069287.2,AC069287.2
RIC8A,RIC8A
MIR6743,MIR6743
SIRT3,SIRT3
PSMD13,PSMD13
AC136475.10,AC136475.10
NLRP6,NLRP6
AC136475.3,AC136475.3
PGGHG,PGGHG
IFITM5,IFITM5
AC136475.6,AC136475.6
IFITM2,IFITM2
AC136475.2,AC136475.2
IFITM1,IFITM1
AC136475.1,AC136475.1
IFITM3,IFITM3
AC136475.4,AC136475.4
AC136475.8,AC136475.8
AC136475.7,AC136475.7
AC136475.5,AC136475.5
AC136475.9,AC136475.9
B4GALNT4,B4GALNT4
PKP3,PKP3
SIGIRR,SIGIRR
ANO9,ANO9
RN7SL838P,RN7SL838P
PTDSS2,PTDSS2
AC138230.1,AC138230.1
RNH1,RNH1
AC137894.1,AC137894.1
HRAS,HRAS
LRRC56,LRRC56
LMNTD2,LMNTD2
AP006284.1,AP006284.1
RASSF7,RASSF7
MIR210HG,MIR210HG
MIR210,MIR210
PHRF1,PHRF1
IRF7,IRF7
CDHR5,CDHR5
SCT,SCT
DRD4,DRD4
DEAF1,DEAF1
AC131934.1,AC131934.1
EPS8L2,EPS8L2
TMEM80,TMEM80
AP006621.4,AP006621.4
TALDO1,TALDO1
GATD1,GATD1
AP006621.3,AP006621.3
AP006621.5,AP006621.5
AP006621.2,AP006621.2
CEND1,CEND1
SLC25A22,SLC25A22
PANO1,PANO1
PIDD1,PIDD1
RPLP2,RPLP2
SNORA52,SNORA52
PNPLA2,PNPLA2
AP006621.1,AP006621.1
CRACR2B,CRACR2B
CD151,CD151
POLR2L,POLR2L
TSPAN4,TSPAN4
AP006623.1,AP006623.1
CHID1,CHID1
AP2A2,AP2A2
RNU6-1025P,RNU6-1025P
MUC6,MUC6
AC139749.1,AC139749.1
MUC2,MUC2
MUC5AC,MUC5AC
MUC5B,MUC5B
MUC5B-AS1,MUC5B-AS1
MIR6744,MIR6744
TOLLIP,TOLLIP
TOLLIP-AS1,TOLLIP-AS1
AC136297.1,AC136297.1
BRSK2,BRSK2
AC091196.1,AC091196.1
MOB2,MOB2
DUSP8,DUSP8
KRTAP5-AS1,KRTAP5-AS1
KRTAP5-1,KRTAP5-1
KRTAP5-2,KRTAP5-2
KRTAP5-3,KRTAP5-3
KRTAP5-4,KRTAP5-4
KRTAP5-5,KRTAP5-5
AP006285.2,AP006285.2
FAM99A,FAM99A
FAM99B,FAM99B
AP006285.1,AP006285.1
KRTAP5-6,KRTAP5-6
IFITM10,IFITM10
AC068580.4,AC068580.4
CTSD,CTSD
AC068580.3,AC068580.3
AC068580.1,AC068580.1
AC068580.2,AC068580.2
RPL36AP39,RPL36AP39
AC139143.1,AC139143.1
SYT8,SYT8
TNNI2,TNNI2
LSP1,LSP1
MIR4298,MIR4298
AC051649.1,AC051649.1
MIR7847,MIR7847
PRR33,PRR33
LINC01150,LINC01150
TNNT3,TNNT3
MRPL23,MRPL23
MRPL23-AS1,MRPL23-AS1
LINC01219,LINC01219
H19,H19
RF01972,RF01972
MIR675,MIR675
RF01973,RF01973
IGF2,IGF2
IGF2,IGF2
AC132217.1,AC132217.1
INS-IGF2,INS-IGF2
MIR483,MIR483
IGF2-AS,IGF2-AS
INS,INS
TH,TH
MIR4686,MIR4686
ASCL2,ASCL2
C11orf21,C11orf21
TSPAN32,TSPAN32
RNU6-878P,RNU6-878P
CD81-AS1,CD81-AS1
RPL26P30,RPL26P30
RF00019,RF00019
CD81,CD81
TSSC4,TSSC4
AC124057.1,AC124057.1
TRPM5,TRPM5
KCNQ1,KCNQ1
KCNQ1OT1,KCNQ1OT1
RF01946,RF01946
RF01947,RF01947
RF01948,RF01948
RF01950,RF01950
COX6CP18,COX6CP18
KCNQ1-AS1,KCNQ1-AS1
KCNQ1DN,KCNQ1DN
AC013791.1,AC013791.1
CDKN1C,CDKN1C
SLC22A18AS,SLC22A18AS
SLC22A18,SLC22A18
PHLDA2,PHLDA2
NAP1L4,NAP1L4
SNORA54,SNORA54
AC131971.1,AC131971.1
CARS,CARS
CARS-AS1,CARS-AS1
RNU1-91P,RNU1-91P
AC108448.3,AC108448.3
AC108448.2,AC108448.2
OSBPL5,OSBPL5
AC108448.1,AC108448.1
MRGPRG,MRGPRG
MRGPRG-AS1,MRGPRG-AS1
AC109309.1,AC109309.1
MRGPRE,MRGPRE
NDUFA5P8,NDUFA5P8
AC109309.2,AC109309.2
NDUFA5P1,NDUFA5P1
AC123788.2,AC123788.2
AC123788.1,AC123788.1
ZNF195,ZNF195
TSSC2,TSSC2
OR7E12P,OR7E12P
FAM86GP,FAM86GP
AC127526.3,AC127526.3
AC127526.1,AC127526.1
AC127526.2,AC127526.2
SNRPCP5,SNRPCP5
RPS3AP39,RPS3AP39
RPS24P14,RPS24P14
AP006294.2,AP006294.2
AP006294.1,AP006294.1
OR7E117P,OR7E117P
TRPC2,TRPC2
ART5,ART5
ART1,ART1
RF00019,RF00019
RF00019,RF00019
CHRNA10,CHRNA10
NUP98,NUP98
RNU6-1143P,RNU6-1143P
RNU7-50P,RNU7-50P
PGAP2,PGAP2
RHOG,RHOG
AC090587.1,AC090587.1
STIM1,STIM1
AC090587.2,AC090587.2
MIR4687,MIR4687
PPIAP40,PPIAP40
RF00409,RF00409
AC087441.2,AC087441.2
HNRNPA1P76,HNRNPA1P76
AC087441.1,AC087441.1
RPS29P20,RPS29P20
RRM1,RRM1
RRM1-AS1,RRM1-AS1
OR55B1P,OR55B1P
AC015689.1,AC015689.1
AC015689.2,AC015689.2
SSU72P5,SSU72P5
SSU72P2,SSU72P2
SSU72P6,SSU72P6
SSU72P4,SSU72P4
SSU72P3,SSU72P3
SSU72P7,SSU72P7
OR52B4,OR52B4
OR52B3P,OR52B3P
TRIM21,TRIM21
OR52K3P,OR52K3P
OR51R1P,OR51R1P
OR52P2P,OR52P2P
OR52K2,OR52K2
OR52K1,OR52K1
OR52M2P,OR52M2P
OR52M1,OR52M1
C11orf40,C11orf40
OR52I2,OR52I2
OR52I1,OR52I1
TRIM68,TRIM68
OR51D1,OR51D1
OR51E1,OR51E1
OR51A9P,OR51A9P
OR51E2,OR51E2
OR51C1P,OR51C1P
MMP26,MMP26
OR51F5P,OR51F5P
OR51C4P,OR51C4P
KRT8P49,KRT8P49
OR51F3P,OR51F3P
OR51F4P,OR51F4P
RF00091,RF00091
OR51F1,OR51F1
OR51N1P,OR51N1P
OR52Y1P,OR52Y1P
OR52R1,OR52R1
OR51F2,OR51F2
OR51A8P,OR51A8P
OR51S1,OR51S1
OR51H1,OR51H1
OR51H2P,OR51H2P
OR51T1,OR51T1
OR51A6P,OR51A6P
OR51A7,OR51A7
OR51G2,OR51G2
OR51G1,OR51G1
OR51A3P,OR51A3P
OR51A4,OR51A4
OR51A2,OR51A2
OR51A5P,OR51A5P
OR51L1,OR51L1
OR51P1P,OR51P1P
OR52J2P,OR52J2P
OR52J3,OR52J3
OR52E2,OR52E2
OR52E1,OR52E1
OR52S1P,OR52S1P
OR52E3P,OR52E3P
OR52J1P,OR52J1P
AC113331.1,AC113331.1
OR52A4P,OR52A4P
OR52A5,OR52A5
OR52A1,OR52A1
OR51A1P,OR51A1P
OR52Z1,OR52Z1
OR51V1,OR51V1
AC104389.1,AC104389.1
AC104389.6,AC104389.6
RF00621,RF00621
HBB,HBB
HBD,HBD
HBBP1,HBBP1
BGLT3,BGLT3
HBG1,HBG1
AC104389.5,AC104389.5
HBG2,HBG2
AC104389.4,AC104389.4
HBE1,HBE1
OR51AB1P,OR51AB1P
OR51B4,OR51B4
OR51B5,OR51B5
OR51B3P,OR51B3P
OR51B2,OR51B2
OR51B8P,OR51B8P
OR51B6,OR51B6
AC104389.2,AC104389.2
AC104389.3,AC104389.3
OR51M1,OR51M1
OR51J1,OR51J1
OR51Q1,OR51Q1
OR51K1P,OR51K1P
OR51I1,OR51I1
OR51I2,OR51I2
OR51A10P,OR51A10P
OR52D1,OR52D1
UBQLN3,UBQLN3
UBQLNL,UBQLNL
OLFM5P,OLFM5P
OR52V1P,OR52V1P
OR52H1,OR52H1
OR52H2P,OR52H2P
OR52B5P,OR52B5P
OR52T1P,OR52T1P
HNRNPA1P53,HNRNPA1P53
OR52B6,OR52B6
TRIM6,TRIM6
TRIM6-TRIM34,TRIM6-TRIM34
TRIM34,TRIM34
TRIM5,TRIM5
TRIM22,TRIM22
OR52U1P,OR52U1P
OR52P1P,OR52P1P
OR56B1,OR56B1
OR52N4,OR52N4
OR56B2P,OR56B2P
OR52N5,OR52N5
OR52N1,OR52N1
OR52N3P,OR52N3P
OR52N2,OR52N2
OR52E6,OR52E6
OR52E8,OR52E8
OR52E7P,OR52E7P
OR52E4,OR52E4
OR52E5,OR52E5
OR52Q1P,OR52Q1P
OR56A3,OR56A3
OR56A5,OR56A5
OR52L1,OR52L1
KRT18P58,KRT18P58
OR56A4,OR56A4
RNA5SP329,RNA5SP329
OR56A1,OR56A1
OR56A7P,OR56A7P
OR52L2P,OR52L2P
OR52X1P,OR52X1P
OR56B4,OR56B4
AC022762.1,AC022762.1
OR56B3P,OR56B3P
OR52B1P,OR52B1P
OR52B2,OR52B2
OR52W1,OR52W1
AC022762.2,AC022762.2
C11orf42,C11orf42
FAM160A2,FAM160A2
CNGA4,CNGA4
CCKBR,CCKBR
AC068733.2,AC068733.2
CAVIN3,CAVIN3
AC068733.3,AC068733.3
AC068733.1,AC068733.1
SMPD1,SMPD1
APBB1,APBB1
HPX,HPX
TRIM3,TRIM3
ARFIP2,ARFIP2
TIMM10B,TIMM10B
AC084337.2,AC084337.2
AC084337.1,AC084337.1
DNHD1,DNHD1
RRP8,RRP8
AC091564.2,AC091564.2
ILK,ILK
TAF10,TAF10
AC091564.3,AC091564.3
AC091564.7,AC091564.7
TPP1,TPP1
AC091564.6,AC091564.6
DCHS1,DCHS1
AC091564.4,AC091564.4
AC091564.5,AC091564.5
MRPL17,MRPL17
AC091564.1,AC091564.1
GVINP1,GVINP1
GVINP2,GVINP2
OR2AG2,OR2AG2
OR2AG1,OR2AG1
OR6A2,OR6A2
AC087280.2,AC087280.2
AC087280.1,AC087280.1
OR10A5,OR10A5
OR10A2,OR10A2
OR10A4,OR10A4
OR2D2,OR2D2
OR2D3,OR2D3
ZNF215,ZNF215
ZNF214,ZNF214
NLRP14,NLRP14
RBMXL2,RBMXL2
AC027804.1,AC027804.1
MIR302E,MIR302E
SYT9,SYT9
AC107884.1,AC107884.1
OLFML1,OLFML1
PPFIBP2,PPFIBP2
AC107884.2,AC107884.2
CYB5R2,CYB5R2
OVCH2,OVCH2
AC104237.2,AC104237.2
AC104237.3,AC104237.3
AC044810.3,AC044810.3
AC104237.1,AC104237.1
OR10AB1P,OR10AB1P
OR5P4P,OR5P4P
AC044810.2,AC044810.2
OR5P1P,OR5P1P
AC044810.1,AC044810.1
OR5P2,OR5P2
OR5P3,OR5P3
OR5E1P,OR5E1P
RNU6-943P,RNU6-943P
OR10A6,OR10A6
OR10A3,OR10A3
NLRP10,NLRP10
EIF3F,EIF3F
COX6CP5,COX6CP5
CASC23,CASC23
TUB,TUB
AC116456.1,AC116456.1
TUB-AS1,TUB-AS1
AC116456.2,AC116456.2
RIC3,RIC3
AC091013.1,AC091013.1
LMO1,LMO1
STK33,STK33
RF00601,RF00601
TRIM66,TRIM66
AC091053.2,AC091053.2
RPL27A,RPL27A
SNORA3A,SNORA3A
SNORA3B,SNORA3B
ST5,ST5
AC091053.1,AC091053.1
AC026894.1,AC026894.1
RNA5SP330,RNA5SP330
RF00019,RF00019
AKIP1,AKIP1
C11orf16,C11orf16
ASCL3,ASCL3
RF00019,RF00019
TMEM9B,TMEM9B
TMEM9B-AS1,TMEM9B-AS1
NRIP3,NRIP3
AC079296.1,AC079296.1
SCUBE2,SCUBE2
MIR5691,MIR5691
KRT8P41,KRT8P41
DENND5A,DENND5A
AP006259.1,AP006259.1
RF00017,RF00017
TMEM41B,TMEM41B
PRR13P2,PRR13P2
IPO7,IPO7
SNORA23,SNORA23
AC132192.1,AC132192.1
AC132192.2,AC132192.2
ZNF143,ZNF143
WEE1,WEE1
RF01210,RF01210
RPL23AP65,RPL23AP65
AC011979.2,AC011979.2
AC011979.1,AC011979.1
SWAP70,SWAP70
RN7SKP50,RN7SKP50
AC026250.1,AC026250.1
SBF2-AS1,SBF2-AS1
SBF2,SBF2
AC011092.2,AC011092.2
RNU7-28P,RNU7-28P
AC011092.1,AC011092.1
AC100763.1,AC100763.1
AC080023.2,AC080023.2
AC080023.1,AC080023.1
ADM,ADM
AMPD3,AMPD3
RNU6ATAC33P,RNU6ATAC33P
MTRNR2L8,MTRNR2L8
MIR4485,MIR4485
RNF141,RNF141
MRVI1-AS1,MRVI1-AS1
LYVE1,LYVE1
MRVI1,MRVI1
RF00019,RF00019
CTR9,CTR9
EIF4G2,EIF4G2
SNORD97,SNORD97
AC116535.1,AC116535.1
ZBED5,ZBED5
ZBED5-AS1,ZBED5-AS1
AC069360.1,AC069360.1
AC111188.1,AC111188.1
AC111188.2,AC111188.2
AC111188.3,AC111188.3
MTND5P21,MTND5P21
KC877392.1,KC877392.1
GALNT18,GALNT18
CSNK2A3,CSNK2A3
AC023946.1,AC023946.1
AC104031.1,AC104031.1
MIR4299,MIR4299
AC131935.2,AC131935.2
AC131935.1,AC131935.1
MIR8070,MIR8070
USP47,USP47
AC104383.1,AC104383.1
DKK3,DKK3
LINC02547,LINC02547
AC124276.1,AC124276.1
AC124276.2,AC124276.2
MICAL2,MICAL2
MIR6124,MIR6124
AC079329.1,AC079329.1
AC025300.1,AC025300.1
PARVA,PARVA
AC009806.1,AC009806.1
TEAD1,TEAD1
AC013549.2,AC013549.2
AC013549.3,AC013549.3
RF00424,RF00424
AC013549.1,AC013549.1
LINC00958,LINC00958
AC084859.1,AC084859.1
RASSF10,RASSF10
AC013762.1,AC013762.1
AC022878.1,AC022878.1
ARNTL,ARNTL
RN7SKP151,RN7SKP151
BTBD10,BTBD10
AC021269.1,AC021269.1
AC021269.2,AC021269.2
PTH,PTH
HMGN2P36,HMGN2P36
FAR1,FAR1
FAR1-IT1,FAR1-IT1
RPL39P26,RPL39P26
RF00019,RF00019
CENPUP1,CENPUP1
AC013828.1,AC013828.1
LINC02548,LINC02548
AC027779.1,AC027779.1
LINC02545,LINC02545
RNA5SP331,RNA5SP331
AC022240.1,AC022240.1
SPON1,SPON1
RNA5SP332,RNA5SP332
SPON1-AS1,SPON1-AS1
RRAS2,RRAS2
AC018523.1,AC018523.1
COPB1,COPB1
RNU7-49P,RNU7-49P
AC018523.2,AC018523.2
PSMA1,PSMA1
PDE3B,PDE3B
MORF4L1P3,MORF4L1P3
CYP2R1,CYP2R1
CALCB,CALCB
CALCP,CALCP
CALCA,CALCA
OR7E41P,OR7E41P
INSC,INSC
RF00324,RF00324
AC073172.2,AC073172.2
AC073172.1,AC073172.1
AC087379.2,AC087379.2
AC087379.1,AC087379.1
AC009869.1,AC009869.1
SOX6,SOX6
MIR6073,MIR6073
AC103794.1,AC103794.1
AKR1B1P3,AKR1B1P3
RN7SL188P,RN7SL188P
C11orf58,C11orf58
PLEKHA7,PLEKHA7
RN7SKP90,RN7SKP90
AC116533.1,AC116533.1
OR7E14P,OR7E14P
RPS13,RPS13
SNORD14A,SNORD14A
SNORD14B,SNORD14B
PIK3C2A,PIK3C2A
RNU6-593P,RNU6-593P
AC126389.1,AC126389.1
AC107956.2,AC107956.2
NUCB2,NUCB2
AC107956.1,AC107956.1
AC124798.2,AC124798.2
NCR3LG1,NCR3LG1
AC124798.1,AC124798.1
KCNJ11,KCNJ11
ABCC8,ABCC8
SDHCP4,SDHCP4
USH1C,USH1C
OTOG,OTOG
AC124301.1,AC124301.1
AC124301.2,AC124301.2
MYOD1,MYOD1
KCNC1,KCNC1
SERGEF,SERGEF
AC055860.1,AC055860.1
TPH1,TPH1
SAAL1,SAAL1
HIGD1AP5,HIGD1AP5
SAA3P,SAA3P
MRGPRX3,MRGPRX3
AC090099.4,AC090099.4
AC090099.5,AC090099.5
AC090099.3,AC090099.3
MRGPRX4,MRGPRX4
GLTPP1,GLTPP1
AC090099.2,AC090099.2
AC090099.1,AC090099.1
SAA4,SAA4
SAA2-SAA4,SAA2-SAA4
SAA2,SAA2
RNA5SP333,RNA5SP333
ST13P5,ST13P5
SAA1,SAA1
RNA5SP334,RNA5SP334
HPS5,HPS5
GTF2H1,GTF2H1
MIR3159,MIR3159
LDHA,LDHA
AC084117.1,AC084117.1
LDHC,LDHC
AC027544.3,AC027544.3
LDHAL6A,LDHAL6A
TSG101,TSG101
YWHABP2,YWHABP2
AC027544.2,AC027544.2
AC027544.1,AC027544.1
UEVLD,UEVLD
RF00017,RF00017
SPTY2D1OS,SPTY2D1OS
AC112694.1,AC112694.1
AC112694.2,AC112694.2
SPTY2D1,SPTY2D1
AP006296.1,AP006296.1
TMEM86A,TMEM86A
IGSF22,IGSF22
AC103974.1,AC103974.1
PTPN5,PTPN5
AC103974.2,AC103974.2
AC023078.1,AC023078.1
AC023078.6,AC023078.6
AC023078.2,AC023078.2
AC023078.7,AC023078.7
MRGPRX1,MRGPRX1
AC023078.5,AC023078.5
AC023078.4,AC023078.4
AC023078.3,AC023078.3
AC027026.1,AC027026.1
MRGPRX2,MRGPRX2
ZDHHC13,ZDHHC13
CSRP3,CSRP3
AC009652.2,AC009652.2
E2F8,E2F8
PCNAP4,PCNAP4
AC009652.1,AC009652.1
NAV2,NAV2
NAV2-IT1,NAV2-IT1
RNA5SP335,RNA5SP335
NAV2-AS5,NAV2-AS5
NAV2-AS4,NAV2-AS4
MIR4486,MIR4486
RF00408,RF00408
AC009549.1,AC009549.1
MIR4694,MIR4694
NAV2-AS3,NAV2-AS3
NAV2-AS2,NAV2-AS2
NAV2-AS1,NAV2-AS1
